ids,en,de
417,"That being so , the Commission undertakes to include those issues in the work that will be done in implementing this programme .","Auf dieser Grundlage verpflichtet sich die Kommission deshalb , diese Aufgaben bei der Durchführung des vorliegenden Programms zu berücksichtigen ."
418,"To conclude , the Commission welcomes the great interest that the ' Customs 2000 ' programme has generated in the House and the active support our proposal has been given .","Abschließend möchte ich noch der Genugtuung der Kommission darüber Ausdruck verleihen , daß dem Programm "" Zoll 2000 "" ein dermaßen großes Interesse von Ihrem Haus entgegengebracht wurde sowie für die aktive Unterstützung , die Sie unserem Projekt entgegenbringen ."
419,"Thank you , Mr Monti .","Vielen Dank , Herr Kommissar Monti !"
420,The debate is closed .,Die Aussprache ist geschlossen .
421,The vote will take place tomorrow at 12 noon .,Die Abstimmung findet heute um 12.00 Uhr statt .
422,Industrial policy for the pharmaceutical sector,Industriepolitik für den Arzneimittelsektor
423,"Ladies and gentlemen , this report is sure to provoke very widely differing views on the industrial policy we should pursue in the pharmaceutical sector .","Meine Damen und Herren , dieser Pharmabericht enthält sicherlich Stoff für große Meinungsverschiedenheiten hinsichtlich der im pharmazeutischen Sektor zu verfolgenden Industriepolitik ."
424,I should like to pick up on this point .,Ich möchte darauf zu sprechen kommen .
425,"Mr Bangemann , we were at the EMEA conference in London together , and I assume that you , as a forward-thinking consumer protector , will also support these demands .","Herr Bangemann , wir haben in London gemeinsam in der EMEA-Runde gesessen , und ich gehe davon aus , daß Sie als moderner Verbraucherschützer ebenfalls diese Kriterien und Forderungen unterstützen ."
426,"I would like to stress that certain passages in this report have been watered down as a compromise , to ensure that it would receive a majority .","Ich möchte nochmals ganz besonders die kompromißhaft entschärften Formulierungen hervorheben , die dieser Bericht zum Zwecke der Mehrheitsfähigkeit enthält ."
427,"This is , of course , not the ideal way to produce a report , but in the end the wording is always some sort of compromise .","Natürlich ist das für eine Berichterstattung nicht glücklich , aber das , was am Ende vorliegt , ist immer eine Kompromißformulierung ."
428,"We are also calling for a responsible export policy in the pharmaceutical sector , with the introduction of a code of conduct .","In diesem Zusammenhang steht die Forderung nach einer verantwortungsvollen Exportpolitik gerade im pharmazeutischen Sektor , die durch einen code of conduct sichergestellt wird ."
429,Let me be quite clear about this . A modern industrial policy must not be geared towards either producers or customers .,Lassen Sie mich ganz deutlich sagen : Eine moderne Industriepolitik darf sich weder an Ressort- noch an Klientelpolitik orientieren .
430,"It must be geared towards society and its legitimate needs , and above all , Mr Bangemann , it must have the courage to innovate .","Sie muß sich zur Gesellschaft öffnen , sie muß auf die berechtigten Bedürfnisse dieser Gesellschaft eingehen und - Herr Bangemann - sie muß vor allem den Mut haben , Neues zu gestalten !"
431,"In my view , the report should be adopted as it stands .","Ich meine , der Bericht sollte so , wie er jetzt vorliegt , angenommen werden ."
432,"I hope that it will be widely supported , and I would be delighted if it helped to give the people of Europe confidence in our ability to protect those who are ill .","Ich wünsche mir dafür eine breite Unterstützung , und ich wäre sehr dankbar , wenn wir damit im Bereich des Patientenschutzes das Vertrauen der Bürgerinnen und Bürger und Europas gewinnen könnten ."
433,"Madam President , I should like to start where the rapporteur has left off .","Frau Präsidentin , ich möchte da beginnen , wo die Berichterstatterin aufgehört hat ."
434,"We have to recognize , however , that the idea of having an industrial policy for the pharmaceutical industry is rather different from the other industries we have dealt with in the past .","Wir müssen jedoch anerkennen , daß sich die Vorstellung von einer Industriepolitik für den Arzneimittelsektor ziemlich von der für die anderen Industriebereiche unterscheidet , die wir in der Vergangenheit behandelt haben ."
435,We have to acknowledge that the pharmaceutical industry is intimately linked to health issues and to the national social security systems of our Member States .,"Wir müssen anerkennen , daß die Pharmaindustrie mit den Gesundheitsfragen und den nationalen Sozialversicherungssystemen der Mitgliedstaaten eng verknüpft ist ."
436,When we determine an industrial policy - which we should do for the pharmaceutical sector - we have to recognize that it is a much broader sector than the other industries we have looked at in the past .,"Wenn wir - was wir für den Arzneimittelsektor tun sollten - eine Industriepolitik festlegen , müssen wir einräumen , daß dieser Sektor viel breiter ist als die anderen Industriebereiche , die wir in der Vergangenheit behandelt haben ."
437,"At a time when governments are trying to cut their budget deficits , we have to look at the costs involved in buying the pharmaceuticals for the health of our nations .","In einer Zeit , in der die Regierungen versuchen , ihre Haushaltsdefizite zu verringern , müssen wir auf die Kosten der für die Gesundheit unserer Nationen benötigten Arzneimittel achten ."
438,To ensure that we have healthy citizens we have to ensure that drugs are as inexpensive as possible .,"Um sicherzustellen , daß unsere Bürgerinnen und Bürger gesund sind , müssen wir dafür sorgen , daß Arzneimittel möglichst billig sind ."
439,The Socialist Group supports an industrial policy .,Die Sozialdemokratische Fraktion unterstützt die Industriepolitik .
440,We do not believe that we should cherry-pick .,"Wir glauben nicht , daß wir nur Rosinen herauspicken sollten ."
441,We want to see a comprehensive industrial strategy for the European Union and we do not believe we should only look at industries which are in decline .,"Wir wollen eine umfassende Strategie für die Industrie der Europäischen Union und glauben nicht , daß wir nur auf im Niedergang begriffene Industriebereiche achten sollten ."
442,"Therefore , we welcome the Commission 's proposal to look at the pharmaceutical industry .","Deshalb begrüßen wir den Vorschlag der Kommission , die Pharmaindustrie zu berücksichtigen ."
443,There is global competition in this sector .,In diesem Sektor gibt es einen globalen Wettbewerb .
444,We recognize that with global markets we have to look at this key industry and ensure that it is competitive within the European Union .,"Wir anerkennen , daß wir bei globalen Märkten auf diese Schlüsselindustrie achten und sicherstellen müssen , daß sie in der Europäischen Union wettbewerbsfähig ist ."
445,That is why the report we have produced looks at a number of key issues .,Deshalb achtet der von uns erstellte Bericht auf eine Reihe von Schlüsselfragen .
446,We want to encourage innovation .,Wir wollen zur Innovation ermutigen .
447,We want adequate protection of new medicinal products .,Wir wollen einen angemessenen Schutz neuer Arzneimittel .
448,We want the availability of medicinal products for citizens throughout the European Union .,"Wir wollen , daß die Arneimittel für die Bürgerinnen und Bürger in der ganzen EU verfügbar sind ."
449,But in addition - and we see no contradiction in this - we want the development of an EU-based generic pharmaceutical industry as a positive contribution to competition .,"Doch darüber hinaus - und wir sehen darin keinen Widerspruch - wollen wir die Entwicklung einer EU-weiten , allgemeinen Pharmaindustrie als positiven Beitrag zum Wettbewerb ."
450,There is no contradiction if we recognize the importance of the pharmaceutical industry for the health of our citizens and for our national social security systems .,"Dies ist kein Widerspruch , wenn wir die Bedeutung der Pharmaindustrie für die Gesundheit unserer Bürgerinnen und Bürger und für unsere nationalen Sozialversicherungssysteme anerkennen ."
451,"So , we want a well-balanced industrial policy but we want to make sure that this balance recognizes the responsibility that the pharmaceutical industry has in Europe .","Somit wollen wir eine ausgeglichene Industriepolitik , wollen jedoch auch dafür sorgen , daß dieses Gleichgewicht die Verantwortung der Pharmaindustrie in Europa anerkennt ."
452,It has its industrial responsibilities but also a responsibility towards every single citizen that may need to use these products in the future .,"Sie trägt industrielle Verantwortung , aber auch Verantwortung gegenüber allen einzelnen Bürgerinnen und Bürgern , die ihre Erzeugnisse in Zukunft brauchen ."
453,"Madam President , ladies and gentlemen , the Commission report has been out for two years now , and the House has discussed it in great detail over that period .","Frau Präsidentin , meine sehr verehrten Damen und Herren ! Seit über zwei Jahren liegt der Bericht der Kommission vor , und wir haben in diesen zwei Jahren im Parlament sehr intensiv darüber diskutiert ."
454,"It is a good thing that Mrs Soltwedel-Schäfer can now tell us that the wording of various passages has been watered down , because the proposals she originally put forward were completely unworkable .","Wenn Frau SoltwedelSchäfer heute von kompromißhaft entschärften Formulierungen spricht , dann mag das sicher auf den einen oder anderen Punkt zutreffen , weil ihre Vorschläge , die sie zu Beginn vorgelegt hat , völlig unbrauchbar waren ."
455,This is not the right way to go about things .,Das ist der falsche Weg .
456,"We feel that the Commission report paints a relatively accurate picture , but the proposals which it puts forward still need some improvement .","Wir sind der Meinung , daß der Bericht der Kommission ein relativ zutreffendes Bild abgibt , daß aber im Bereich der Vorschläge hier noch einiges zu leisten sein wird ."
457,We agree with the Socialist Group 's analysis here .,Insofern stimmen wir in diesem Punkt mit der Analyse der sozialistischen Fraktion überein .
458,"The most controversial subject in the committee was the issue of generic medicines , on which there was fierce lobbying from the industry .",Der kritischste Bereich war im Ausschuß die Thematik der Generika . Hier hat die Industrie eine beachtliche Lobbytätigkeit vorzuweisen .
459,"This is one area where we can actually achieve something , and I think it would be a good way to promote greater transparency and more competition on the market .","In diesem Bereich kann man etwas tun , und ich halte dies für den richtigen Weg , um in diesem Markt mehr Transparenz und Wettbewerb zu erzielen ."
460,"There are a number of factors which they have completely overlooked , however .",Dabei übersehen sie jedoch verschiedene Faktoren .
461,"First and foremost , there is the importance of medical progress .",Zunächst die Bedeutung des therapeutischen Fortschritts .
462,Research and progress in the pharmaceutical industry depend entirely on having a watertight patent protection period .,Ein schlüssiger Patentschutz ist die conditio sine qua non für Forschungsbemühungen und therapeutische Fortschritte in der Pharmaindustrie .
463,"Secondly , we must not forget that the market for generics is a purely commercial one and involves only products which are commercially successful .","Zweitens dürfen wir nicht vergessen , daß der Generika-Markt rein kommerziell ausgerichtet ist . Er strebt ausschließlich nach kommerziellem Erfolg ."
464,"Thirdly , the comparison with the situation in the United States does not hold water .",Drittens stimmt der Vergleich mit der Lage in den Vereinigten Staaten nicht .
465,"The United States does not have price regulation , so the pharmaceutical industry can recover its research costs more quickly .","Die Vereinigten Staaten kennen keine Preisregulierung , so daß die Pharmaindustrie ihre Forschungskosten schneller wieder hereinbekommen kann ."
466,"The solution lies in free pricing , not in cutting down on the patent protection periods .",Wir müssen die Lösung eher in einer freien Preisgestaltung und nicht so sehr in einer Aushöhlung des Patentschutzes suchen .
467,"The American market is also not fragmented as it is in the Union , where the protection period is calculated from the first time a licence is granted in any of the Member States .","Der amerikanische Markt ist auch nicht so fragmentiert wie in der Europäischen Union , wo die Schutzdauer auf der Grundlage der ersten Genehmigung berechnet wird , die in einem Mitgliedstaat erteilt wurde ."
468,"Finally , the innovative pharmaceutical sector is one of the leading generators of employment .","Schließlich ist es vor allem die innovative Pharmaindustrie , die Arbeitsplätze schafft ."
469,"It has a much greater multiplier effect on other sectors and itself employs 530 000 people in Europe , 80 000 of them highly skilled .","Sie hat einen viel größeren Multiplikatoreffekt auf andere Sektoren und beschäftigt darüber hinaus in Europa 530.000 Menschen , von denen 80.000 hochqualifizierte Arbeitnehmer sind ."
470,"Apart from her desire to reduce the patent protection periods , it is the rapporteur 's views on genetic technology and biotechnology which cause me the greatest anxiety .",Abgesehen von der Beeinträchtigung des Patentschutzes sind die Standpunkte des Berichterstatters zur Biotechnologie und Gentherapie für mich sehr beunruhigend .
471,"I hope that when you vote , ladies and gentlemen , you will put the interests of medical progress and a competitive pharmaceutical industry in Europe first .","Ich hoffe , daß Sie , liebe Kolleginnen und Kollegen , bei der Abstimmung der Bedeutung des medizinischen Fortschritts und einer wettbewerbsfähigen Arzneimittelindustrie in Europa den Vorrang einräumen werden ."
472,"Madam President , in relation to this report it is important to emphasise the special nature of the pharmaceutical industrial sector .","Frau Präsidentin , was diesen Bericht betrifft , so ist die besondere Eigenart des pharmazeutischen Industriesektors hervorzuheben ."
473,"It is umbilically linked to public health and , as point E demonstrates , we should first of all aim at the objective of providing the whole population with safe and efficient medicines .","Er ist ganz eng mit dem öffentlichen Gesundheitswesen verknüpft und sollte in erster Linie das Ziel verfolgen , die Bevölkerung mit sicheren und wirksamen Arzneien zu versorgen , wie aus Erwägung E hervorgeht ."
474,This undeniable priority comes up at Community level against the differences between the health systems and social security regimes in the different Member States and various national peculiarities .,Diese unabdingbare Priorität steht auf EU-Ebene den Unterschieden in den Gesundheitssystemen und in der sozialen Sicherung innerhalb der einzelnen Mitgliedstaaten und auch den nationalen Besonderheiten gegenüber .
475,On one hand it is a sector which illustrates in the extreme and with many contradictions the process of private transnationalisation leading to the destruction of national industrial sectors .,"Andererseits zeigt dieser Sektor aber auch auf extreme und widersprüchliche Weise den privaten Transnationalisierungsprozeß , der einzelstaatliche Industriesektoren zerstört ."
476,The case of Portugal would be a perfect example of this accelerated and perverse evolution which has made the production and trade in medicines completely dependent on the outside .,"Portugal wäre ein typisches Beispiel für diese überstürzte und perverse Entwicklung , durch die die Produktion und der Handel mit Arzneimitteln in totale Abhängigkeit vom Ausland geraten sind ."
477,It is obvious that the pharmaceuticals industry demands huge resources and calls for extremely burdensome research spending .,"Selbstverständlich braucht die pharmazeutische Industrie große Mittel , vor allem aufgrund einer sehr mühsamen Forschungsarbeit ."
478,However it is very important to prevent that research and development from being exclusively at the service of private interests rather than mankind as a whole or public health .,"Indessen muß vermieden werden , daß diese Forschung und ihre Weiterentwicklung ausschließlich privaten Interessen dient und nicht der Menschheit bzw. dem öffentlichen Gesundheitswesen ."
479,The delicate nature of these questions and the dimension of the interests at stake are both reflected in the report which should deal less with the market and prices .,"Diese heiklen Probleme und die Beteiligung großer Interessen spiegeln sich im Bericht wieder , der sich weniger mit Markt und Preisen hätte befassen müssen ."
480,But that is how things are .,Aber so sind die Dinge eben .
481,"Madam President , ladies and gentlemen , what we are doing here is developing a European industrial policy for a particular sector .","Frau Präsidentin , liebe Kolleginnen und Kollegen ! In der Tat geht es hier darum , auf europäischer Ebene eine Industriepolitik für einen besonderen Sektor zu entwickeln ."
482,"In the pharmaceutical sector , we need to reconcile a number of different interests .",Im Pharmasektor müssen wir eine Reihe von Interessen in Einklang bringen .
483,"First of all , there is our common heritage of biodiversity and acquired scientific knowledge , the latter being a basic prerequisite for the development of pharmaceutical products .","Es geht erstens um die Kategorie des gemeinsamen Erbes der Menschheit an Biodiversität und auch um die bisher erreichten wissenschaftlichen Erkenntnisse , die natürlich eine wesentliche Voraussetzung für die Entwicklung von Pharmaprodukten darstellen ."
484,"Secondly , there are the interests of society , since our social security and healthcare systems are greatly affected by price levels in this sector .","Zweitens geht es um die gemeinschaftlichen Interessen unserer Gesellschaften , für deren soziale Sicherheits- und Gesundheitssysteme das Gesamtpreisniveau in diesem Sektor bestimmend ist ."
485,"Thirdly , there is our common interest in lasting innovation for the future , which means that we will always need industrialists , and they in turn will always need a challenge .","Drittens geht es um das gesamtgesellschaftliche Interesse an nachhaltiger , zukunftsfähiger Innovation , für die es immer sowohl des Entrepreneurs als auch der Herausforderung bedarf , unter der er steht ."
486,"Big profits are not enough , otherwise we would have seen a flood of industrial innovation in Europe in recent years , which has clearly not been the case .","Es reicht nicht , daß es große Profite gibt ; wenn es so wäre , dann müßten wir in den letzten Jahren eine Welle von industrieller Innovation in Europa erlebt haben , was aber nicht der Fall war ."
487,"Those who have invested in the sector , however , quite legitimately wish to see a return on their capital .","Natürlich ist das Interesse an einer Rentabilität des Kapitals , das in diesem Sektor investiert wurde , legitim . Das ist völlig korrekt ."
488,"Madam President , ladies and gentlemen , this is a commendable report , despite a rather unfortunate title .","Frau Präsidentin , liebe Kolleginnen und Kollegen ! Dieser Bericht ist trotz seines verwirrenden Titels ein Lob wert ."
489,Is not an industrial policy for the pharmaceutical sector reminiscent of the planning we used to see in the iron curtain countries ?,Erinnert die Industriepolitik für den Arzneimittelsektor nicht in diesem Fall an die selige Planwirtschaft der Länder hinter dem Eisernen Vorhang ?
490,The argumentation without discussion is cast in the same mould .,Die unpolemische Argumentation ist vom gleichen Kaliber .
491,"While it is admittedly impossible to harmonize the management policies in the pharmaceutical sector , there are certain major subjects of concern which this report fails to address .","Sicher mag es unmöglich sein , die Maßnahmen zur Bewirtschaftung des Arzneimittelsektors zu vereinheitlichen , doch gibt es wichtige Besonderheiten , die in diesem Bericht ausgeklammert werden ."
492,A specific approach to this problem is essential due to the appearance of new forms of nonepidemiological illnesses .,"Eine spezifische Betrachtungsweise dieses Problems ist unerläßlich , da neue , nicht epidemiologische Krankheitsformen auftreten ."
493,"A medicine exists because it provides treatment , irrespective of whether it is profitable or not .","Medikamente existieren , weil sie wirken , ob sie nun rentabel sind oder nicht ."
494,Japan and the United States have awarded orphan drugs special status .,Japan und die Vereinigten Staaten haben Vorschriften zu diesen orphan drugs genannten Medikamenten erlassen und ihnen einen besonderen Status eingeräumt .
495,In Europe there is a legal vacuum in this area .,In Europa herrscht diesbezüglich ein Rechtsvakuum .
496,This question of orphan drugs leads us to the whole matter of public health .,"So führt uns die Problematik der "" verwaisten Medikamente "" zum Begriff der Volksgesundheit ."
497,"Europe should endeavour to promote this protection of life at all levels , without excluding the so-called risk groups or the victims of rare diseases .","Unser Europa sollte sich bemühen , diesen Schutz des Lebens auf allen Ebenen zu fördern , ohne sogenannte Risikogruppen oder die an seltenen Befunden Erkrankten auszuschließen ."
498,A healthy notion of public health must allow every individual to obtain treatment according to his real needs .,"Ein gesunder Begriff von der Volksgesundheit sollte es jedem einzelnen ermöglichen , sich entsprechend seinen wirklichen Bedürfnissen behandeln zu lassen ."
499,This communication from the Commission seems to be seeking to ascertain how best to restrict the supply of health care .,"Diese Mitteilung der Kommission scheint auf die Prüfung der Frage hinauszulaufen , wie sich das Angebot im Gesundheitswesen einschränken läßt ."
500,This is unacceptable .,Dies ist nicht hinnehmbar .
501,"When you then add to this a failure to understand the market economy , the potion becomes all the more poisonous .","Wenn obendrein noch eine mangelnde Kenntnis der Marktwirtschaft hinzukommt , dann kann das Ergebnis nur bittere Medizin sein ."
502,"Just one additional question : How do people view the merger of Ciba-Geigy and Hoffmann-Laroche , which is a result of this report ?","Eine kleine Zusatzfrage : Was halten Sie von der Fusion von Ciba-Geigy und Hoffmann-LaRoche , der logischen Folge dieses Berichts ?"
503,"Madam President , I wish to record my thanks to the rapporteur for her important work on this key industrial sector in the European Union .","Frau Präsidentin , ich möchte meinen Dank an die Bericherstatterin für ihre wichtige Arbeit über diesen Schlüsselindustriesektor der Europäischen Union zu Protokoll geben ."
504,"We have no real public health strategy for the European Union , and this is an important omission , which perhaps we can rectify in other pieces of work .","Wir verfügen über keine wirkliche Strategie der Volksgesundheit in der Europäischen Union , und dies ist ein wichtiges Versäumnis , dem wir vielleicht in anderen Arbeiten abhelfen können ."
505,The rapporteur has rightly drawn attention to some of the problems of the sector and particularly to the way in which companies in the United States of America are in many ways making gains .,"Die Berichterstatterin wies zu Recht auf einige Probleme des Sektors hin , insbesondere auf die vielfältige Art und Weise , wie Unternehmen in den USA Gewinn erzielen ."
506,The area I wish to concentrate on particularly is responsible self-medication .,"Das Gebiet , auf das ich mich besonders konzentrieren möchte , ist die verantwortungsvolle Selbstmedikation ."
507,There is also an important cost element here and sometimes these two objectives can be in contradiction .,"Es besteht hier auch eine wichtige Kostenfrage , und manchmal können diese beiden parallelen Ziele miteinander im Widerspruch stehen ."
508,This leads me on to the important role of the pharmacist in the sale and prescription of over-the-counter medicines .,Dies führt mich zu der wichtigen Rolle des Apothekers beim Verkauf und bei der Verschreibung der frei verkäuflichen Arzneimittel .
509,"We need effective labelling , effective and comprehensive testing and pharmaceutical advice if patients are to make a genuine , informed choice about over-the-counter prescriptions .","Wir brauchen eine wirksame Kennzeichnung , wirksame und umfassende Tests und pharmazeutische Beratung , wenn die Patienten eine richtige , informierte Entscheidung über die frei verkäuflichen Arzneimittel treffen sollen ."
510,It is difficult to balance the need for adequate regulation and the safeguarding of patients ' rights .,"Es ist schwierig , die Notwendigkeit einer angemessen Regelung und den Schutz der Patientenrechte in Einklang zu bringen ."
511,"Now , perhaps that might be more tenuous were we to look at it in a worldwide context .",""" Nun , vielleicht könnte dies unbegründeter sein , sähen wir dies in einem weltweiten Kontext ."
512,I welcome the report .,Ich begrüße den Bericht .
513,I welcome the innovation .,Ich begrüße die Innovation .
514,"I do not agree that we need a pharmaceutical industry with price controls as they are at the moment , but this is an important contribution to a key-sector policy development .","Ich stimme nicht darin überein , daß wir eine Pharmaindustrie mit Preiskontrollen , wie sie derzeit stattfinden , brauchen , doch dies ist ein wichtiger Beitrag zur Entwicklung der Politik in einem Schlüsselsektor ."
515,"Madam President , Commissioner , ladies and gentlemen , as a practising pharmacist and someone with research experience in the pharmaceutical industry , there are two points that I should like to make .","Frau Präsidentin , Herr Kommissar , liebe Kolleginnen und Kollegen ! Als praktizierende Apothekerin und mit Forschungserfahrung in der pharmazeutischen Industrie möchte ich zu zwei Punkten Stellung nehmen ."
516,The most obvious thing that the medical profession does is to advise patients and help them with self-medication .,"Zum Selbstverständnis der Heilberufe gehört es vorrangig , den Patienten zu beraten und ihn in der Selbstmedikation verantwortungsvoll zu unterstützen ."
517,The transition of medicines from being prescription-only to being available over the counter must be carefully monitored .,Es müssen bei dem Übergang von der Verschreibungspflicht durch den Arzt zur rezeptfreien Abgabe kontinuierliche Übergänge geschaffen werden .
518,Only those who have no idea of the huge costs involved in researching new drugs could be in favour of granting earlier licences for generics .,"Eine frühere Zulassung von Generika kann nur der unterstützen , der nicht den immensen Forschungsaufwand für neue Arzneimittel beurteilen kann ."
519,"The comparison with the United States , it must be said , simply does not hold water .","Es muß klargestellt werden , daß der Vergleich mit den USA nicht zu rechtfertigen ist ."
520,"As has already been pointed out , patents are protected for 16 years nationwide in the US , whereas in Europe , protection only takes effect once the product has been licensed in the various individual countries .","Es wurde schon gesagt , daß in den USA die landesweite Patentschutzfrist von 16 Jahren gewährt ist und daß in Europa diese erst nach Zulassung in den einzelnen verschiedenen Ländern zur Wirkung kommen kann ."
521,"I am not in favour of making generics prescription-only , since I think it is better to leave them to market forces .","Zur Förderung der Verschreibung von Generika möchte ich mich auch kritisch äußern , und ich möchte diese Förderung der Verschreibung nicht vorschreiben , sondern dem Markt überlassen ."
522,"Madam President , few reports have been the subject of such intensive lobbying by the industry concerned and I think this is always instructive .","Frau Präsidentin , nur wenige Berichte waren einer so starken Einflußnahme durch die Lobby der betroffenen Industrie ausgesetzt , und ich denke , dies ist immer aufschlußreich ."
523,The absence of a free market in pharmaceutical products is regrettable .,Das Fehlen eines freien Marktes für Pharmaerzeugnisse ist bedauerlich .
524,"I suspect that the cost of moving to a free market would be much lower than we imagine but , of course , once the psychology of restricted markets has taken hold it is hard to get over that .","Ich vermute , die Kosten für den Wandel hin zu einem freien Markt sind viel geringer als wir vermuten , aber wenn sich natürlich die Psychologie beschränkter Märkte erst einmal durchgesetzt hat , ist es schwer , davon wegzukommen ."
525,But if we need a free market we also need normal patent procedures .,"Wir brauchen allerdings nicht nur einen freien Markt , sondern auch normale Patentverfahren ."
526,"Why cannot we allow , as they do in the United States , companies producing generic medicines to begin their development work in advance of the expiry of patents ?","Warum können wir nicht , wie es in den USA der Fall ist , Unternehmen , die Generika herstellen , erlauben , ihre Entwicklungsarbeit vor Ablauf der Patente zu beginnen ?"
527,"We know that this work is done for European companies in Turkey and in Iceland , for example .","Wir wissen , daß diese Arbeit für europäische Unternehmen z.B. in der Türkei und in Island getätigt wird ."
528,It is costing us jobs here in the European Union .,Dies kostet uns hier in der Europäischen Union Arbeitsplätze .
529,"There is more than a little hypocrisy among the large pharmaceutical companies , most of which have generic subsidiaries .","Bei den Pharmaunternehmen , von denen die meisten Generika herstellende Tochterunternehmen haben , ist hier die Scheinheiligkeit mehr als nur gering ."
530,They want to hunt with the hounds and to run with the hare .,Sie wollen mit den Hunden jagen und mit den Hasen rennen .
531,In the United States they see the generic medicine sector as an important job creator .,In den USA gilt der Generika-Sektor als wichtiger Faktor der Schaffung von Arbeitsplätzen .
532,This report calls for the opening of that sector .,Der vorliegende Bericht fordert die Öffnung dieses Sektors .
533,"All of these would lead to a safer , healthier society with more sustainable medicinal practices and a pharmaceutical industry better geared to meet the challenges of the future .","All dies würde zu einer sichereren , gesunderen Gesellschaft mit nachhaltigeren medizinischen Praktiken und einer für die Herausforderungen der Zukunft besser gerüsteten Pharmaindustrie führen ."
534,"Madam President , ladies and gentlemen , a large part of our European identity is based on our system of social protection and , in particular , our system of health insurance .","Frau Präsidentin , liebe Kolleginnen und Kollegen ! Ein guter Teil unserer europäischen Identität beruht auf unserem Sozialversicherungssystem und ganz besonders auf unserem Krankenversicherungssystem ."
535,"In this respect , Mrs Soltwedel has drawn up a very clear and detailed report which deserves our praise .","So gesehen hat Frau Soltwedel-Schäfer einen sehr deutlichen und sehr detaillierten Bericht ausgearbeitet , der unsere Glückwünsche wert ist ."
536,"At the international level , the pharmaceutical sector is going through a period of upheaval , caught between the globalization of competition and cost-cutting measures applied to public health systems .","Auf internationaler Ebene erlebt der Arzneimittelsektor eine Zeit der Umwälzungen , steckt er doch in der Zwickmühle zwischen der weltweiten Verflechtung des Wettbewerbs und den Sparmaßnahmen in den öffentlichen Gesundheitssystemen ."
537,"Although Europe has a large medicines market , it also fortunately has a great scientific and industrial tradition : something known as good manufacturing practice , a notion which must be preserved .","Europa ist nicht nur ein großer Markt für Medikamente , es hat auch - und zum Glück - eine große Tradition in Wissenschaft und Industrie . Dies nennt man solide Herstellung , ein Begriff , der erhalten bleiben muß ."
538,Medicines are an essential factor in protecting health .,Das Medikament ist einer der für den Gesundheitsschutz wesentlichen Faktoren .
539,"The availability , quality , effectiveness and safety of medicines must all be improved - on this point the report is categoric - in order to guarantee treatment or cure for everybody , and also prevention .","Seine Erhältlichkeit , seine Qualität , seine Wirksamkeit und seine Sicherheit müssen verbessert werden - in dieser Hinsicht ist der Bericht kategorisch - , damit wirklich jedem Behandlung bzw. Heilung , aber auch Vorsorge zuteil werden ."
540,In this respect we must always remember the importance of information and the essential health safety on which insufficient stress is laid .,"Dabei sollten wir die Information und die unerläßliche Sicherheit im Gesundheitswesen , die nicht genug betont wird , nicht vergessen ."
541,Any fudging in this area is to be rejected .,In diesem Bereich darf es nichts Ungefähres geben .
542,We must impose strict regulations and not leave the market to impose its own rules .,"Wir müssen strenge Regeln aufstellen und dürfen nicht zulassen , daß der Markt nach seinen Gesetzen verfährt ."
543,"In regard to reagents , which were recently the subject of a debate in this House , we must of course refer to the sad case of the ' Abbot ' AIDS screening tests .","Was die Reagenzien betrifft , die kürzlich erst Gegenstand einer Aussprache in diesem Hohen Hause waren , so müssen wir natürlich an die traurige Geschichte der "" Abbott "" -Aidstests erinnern ."
544,"I repeat , it is essential to prevent any backsliding and to establish sufficient health safety not only between the Member States but everywhere .","Ich wiederhole es , jeder Rückschritt ist unbedingt zu vermeiden , und es muß ausreichende Sicherheit im Gesundheitswesen geben - nicht nur in den Mitgliedstaaten , sondern überall ."
545,Let us learn the necessary lessons from the situation caused by the bovine spongiform encephalopathy prion .,"Wir sollten die Lehren aus der Situation ziehen , die der Prion der bovinen spongiformen Enzephalopathie verursacht hat ."
546,We must not limit the action of the public authorities in this field and confine the pharmaceutical sector to the area of industrial policy alone .,Wir sollten das Tätigwerden der öffentlichen Stellen nicht einschränken und den Arzneimittelsektor nicht nur in die industriepolitische Ecke drängen .
547,There is also the matter of health and people 's lives to be considered .,Es geht um die Gesundheit und das Leben der Menschen .
548,"I repeat , that is what health safety is all about .",Noch einmal : Das meinen wir mit Sicherheit im Gesundheitswesen .
549,"We must also endeavour to increase price transparency , although I know that the treaties do not , unfortunately , yet allow us to cause governments and laboratories to make an effort on this subject .","Wir müssen uns außerdem um mehr Transparenz bei den Preisen bemühen , und ich weiß , daß die Verträge leider noch keine Möglichkeit bieten , die Regierungen und Labors zu diesbezüglichen Bemühungen zu veranlassen ."
550,"I am in favour of the use of generic medicines , but we must not dismantle the system of patents , without which there would be no research or investment , the costs of which are a growing burden .","Sicher bin ich für die Verwendung von Generika , doch dürfen wir den Patentschutz nicht abschaffen , denn ohne diesen Patentschutz gäbe es weder Forschung noch Investitionen , die immer stärker zu Buche schlagen ."
551,"As to gentle and homeopathic medicines , these attract me but also leave me sceptical .","Die "" sanfte "" Medizin und die Homöopathie reizen mich zwar , doch betrachte ich sie weiterhin mit skeptischen Augen ."
552,"Finally , I welcome the creation of the European Medicine Evaluation Agency .",Zum Schluß begrüße ich nachdrücklich die Einrichtung der Europäischen Arzneimittelagentur .
553,I see this is an excellent first step towards Community regulation .,Ich halte sie für einen hervorragenden ersten Schritt zu einer gemeinschaftsweiten Regelung .
